Ohio,"Jan 7, 2014","*, 2014"
Oklahoma,"Feb 3, 2014","May 24, 2014"
Oregon,"Feb 3, 2014","March 7, 2014"
Pennsylvania,"Jan 7, 2014","*, 2014"
Rhode Island,"June 21, 2014","June 21, 2014"
South Carolina,"Jan 14, 2014","June 5, 2014"
South Dakota,"Jan 14, 2014","March 31, 2014"
Tennessee,"Jan 14, 2014","April 17, 2014"
Texas,"*, 2014","*, 2014"
Utah,"Jan 27, 2014","March 13, 2014"
Vermont,"Jan 7, 2014","May 10, 2014"
Virginia,"Jan 8, 2014","March 8, 2014"
Washington,"Jan 13, 2014","March 13, 2014"
West Virginia,"Jan 8, 2014","March 8, 2014"
Wisconsin,"Jan 14, 2014","*, 2014"
Wyoming,"Feb 10, 2014","March 6, 2014"
